background_condition,correct_word_list,correct_word_mean,correct_word_sem,snr,tag_expt,tag_model,correct_spkr_list,correct_spkr_mean,correct_spkr_sem
0.0,"[0.0666666666666666, 0.0714285714285714, 0.1, 0.2857142857142857, 0.0714285714285714, 0.4285714285714285, 0.2, 0.3571428571428571, 0.1333333333333333, 0.2, 0.1428571428571428, 0.1333333333333333, 0.125, 0.2, 0.1428571428571428, 0.1428571428571428, 0.1333333333333333, 0.1333333333333333, 0.0714285714285714, 0.1428571428571428, 0.2, 0.0714285714285714, 0.3333333333333333, 0.2666666666666666, 0.2222222222222222, 0.1428571428571428, 0.2, 0.2142857142857142, 0.0, 0.1428571428571428, 0.0, 0.1428571428571428, 0.3571428571428571, 0.1818181818181818, 0.0714285714285714, 0.2857142857142857, 0.4, 0.1428571428571428, 0.0909090909090909, 0.2142857142857142, 0.3, 0.1428571428571428, 0.1428571428571428, 0.0]",0.1715572937163846,0.015466211115666413,-9.0,kell_like,human,,,
0.0,"[0.4615384615384615, 0.2142857142857142, 0.4615384615384615, 0.2, 0.2857142857142857, 0.2, 0.5, 0.4285714285714285, 0.2857142857142857, 0.2142857142857142, 0.0666666666666666, 0.25, 0.2222222222222222, 0.1428571428571428, 0.5714285714285714, 0.2222222222222222, 0.3333333333333333, 0.1428571428571428, 0.2666666666666666, 0.2666666666666666, 0.4285714285714285, 0.4285714285714285, 0.0, 0.2222222222222222, 0.2857142857142857, 0.0833333333333333, 0.2, 0.2142857142857142, 0.4, 0.2, 0.4, 0.1333333333333333, 0.0, 0.2857142857142857, 0.1428571428571428, 0.3333333333333333, 0.2666666666666666, 0.2142857142857142, 0.3571428571428571, 0.3571428571428571, 0.3571428571428571, 0.6666666666666666, 0.3571428571428571, 0.1818181818181818]",0.278466230738958,0.021272673631278327,-6.0,kell_like,human,,,
0.0,"[0.3571428571428571, 0.3571428571428571, 0.5833333333333334, 0.5, 0.3333333333333333, 0.3571428571428571, 0.6, 0.3333333333333333, 0.3333333333333333, 0.3571428571428571, 0.2857142857142857, 0.5333333333333333, 0.5714285714285714, 0.2666666666666666, 0.3076923076923077, 0.5333333333333333, 0.5, 0.5, 0.6363636363636364, 0.6, 0.6428571428571429, 0.4666666666666667, 0.4666666666666667, 0.5, 0.3333333333333333, 0.6, 0.6, 0.6666666666666666, 0.4285714285714285, 0.3333333333333333, 0.1333333333333333, 0.3636363636363636, 0.3333333333333333, 0.5, 0.7333333333333333, 0.5, 0.4285714285714285, 0.5, 0.4285714285714285, 0.1428571428571428, 0.0, 0.5, 0.2857142857142857, 0.5]",0.43713369963369964,0.022773823304193464,-3.0,kell_like,human,,,
0.0,"[0.4166666666666667, 0.4285714285714285, 0.6428571428571429, 0.7142857142857143, 0.3571428571428571, 0.8571428571428571, 0.7142857142857143, 0.5, 0.6428571428571429, 0.7777777777777778, 0.6, 0.7333333333333333, 0.5, 0.25, 0.4, 0.8, 0.6428571428571429, 0.5333333333333333, 0.4285714285714285, 0.7333333333333333, 0.5714285714285714, 0.7142857142857143, 0.625, 0.4, 0.5333333333333333, 0.4615384615384615, 0.5454545454545454, 0.7857142857142857, 0.7142857142857143, 0.8, 0.7333333333333333, 0.4285714285714285, 0.7142857142857143, 0.7777777777777778, 0.5714285714285714, 0.6428571428571429, 0.6, 0.6, 0.3333333333333333, 0.6, 0.3571428571428571, 0.4285714285714285, 0.6428571428571429, 0.7857142857142857]",0.5918165798847617,0.022980990064953185,0.0,kell_like,human,,,
0.0,"[0.4285714285714285, 0.5333333333333333, 0.6, 0.4, 0.6363636363636364, 0.6, 0.6428571428571429, 0.7857142857142857, 0.6666666666666666, 0.7333333333333333, 0.6666666666666666, 0.7333333333333333, 0.7857142857142857, 0.5454545454545454, 1.0, 0.625, 0.8, 0.6666666666666666, 0.7857142857142857, 0.6428571428571429, 0.6923076923076923, 0.5, 0.7142857142857143, 0.6, 0.625, 0.9285714285714286, 0.3333333333333333, 0.7142857142857143, 0.0, 0.6, 0.6666666666666666, 0.6666666666666666, 0.8, 0.8666666666666667, 0.6428571428571429, 0.6363636363636364, 0.5333333333333333, 0.7142857142857143, 0.5833333333333334, 0.8333333333333334, 0.7333333333333333, 0.6428571428571429, 0.6428571428571429, 0.9333333333333332]",0.6564072291345018,0.02525845363583694,3.0,kell_like,human,,,
0.0,"[0.8, 1.0, 0.8571428571428571, 0.6428571428571429, 0.8333333333333334, 0.7142857142857143, 0.8461538461538461, 0.7333333333333333, 0.7142857142857143, 0.7857142857142857, 1.0, 0.9333333333333332, 1.0, 0.5, 0.8571428571428571, 0.6666666666666666, 0.7333333333333333, 0.7857142857142857, 0.7857142857142857, 0.9, 1.0, 0.9166666666666666, 0.7333333333333333, 0.8666666666666667, 0.7333333333333333, 0.9285714285714286, 0.8666666666666667, 0.6, 0.7142857142857143, 0.7142857142857143, 1.0, 0.8571428571428571, 1.0, 0.7142857142857143, 0.6666666666666666, 0.9285714285714286, 0.9333333333333332, 0.7857142857142857, 0.9333333333333332, 0.8666666666666667, 0.8571428571428571, 0.8571428571428571, 0.4666666666666667, 0.8666666666666667]",0.8158216783216783,0.019683358761233834,inf,kell_like,human,,,
1.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.1333333333333333, 0.0714285714285714, 0.0, 0.0, 0.0, 0.0, 0.0666666666666666, 0.0, 0.0, 0.0666666666666666, 0.0, 0.0, 0.1428571428571428, 0.0, 0.0714285714285714, 0.0, 0.0, 0.0714285714285714, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0666666666666666, 0.0, 0.0, 0.0, 0.0714285714285714, 0.0, 0.0, 0.0, 0.0714285714285714, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.018939393939393926,0.005689585185689045,-9.0,kell_like,human,,,
1.0,"[0.1333333333333333, 0.0, 0.1428571428571428, 0.0, 0.2857142857142857, 0.0, 0.0, 0.0, 0.0666666666666666, 0.0666666666666666, 0.0666666666666666, 0.0, 0.0833333333333333, 0.0666666666666666, 0.0, 0.0, 0.0666666666666666, 0.0666666666666666, 0.0714285714285714, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2, 0.0, 0.1333333333333333, 0.0, 0.0, 0.0, 0.0714285714285714, 0.0, 0.25, 0.1333333333333333, 0.0666666666666666, 0.0, 0.0666666666666666, 0.0714285714285714, 0.0714285714285714, 0.1428571428571428, 0.0666666666666666, 0.0, 0.0714285714285714, 0.0769230769230769]",0.05770063270063268,0.010539419325710394,-6.0,kell_like,human,,,
1.0,"[0.0, 0.2666666666666666, 0.0909090909090909, 0.2857142857142857, 0.1333333333333333, 0.3333333333333333, 0.1333333333333333, 0.0714285714285714, 0.0, 0.2142857142857142, 0.2, 0.0666666666666666, 0.2857142857142857, 0.2857142857142857, 0.1428571428571428, 0.1428571428571428, 0.2666666666666666, 0.25, 0.2, 0.1818181818181818, 0.1333333333333333, 0.1333333333333333, 0.4285714285714285, 0.3333333333333333, 0.0909090909090909, 0.0833333333333333, 0.0, 0.2142857142857142, 0.0, 0.0666666666666666, 0.1428571428571428, 0.0, 0.1428571428571428, 0.1428571428571428, 0.2857142857142857, 0.0666666666666666, 0.2142857142857142, 0.2, 0.2142857142857142, 0.0714285714285714, 0.0, 0.5, 0.2142857142857142, 0.0714285714285714]",0.1659484454939,0.01755920156275579,-3.0,kell_like,human,,,
1.0,"[0.4285714285714285, 0.4666666666666667, 0.2857142857142857, 0.4285714285714285, 0.3636363636363636, 0.4285714285714285, 0.5, 0.5714285714285714, 0.4666666666666667, 0.4, 0.7142857142857143, 0.4285714285714285, 0.2666666666666666, 0.2857142857142857, 0.2857142857142857, 0.3333333333333333, 0.4666666666666667, 0.7142857142857143, 0.2142857142857142, 0.2857142857142857, 0.4285714285714285, 0.6, 0.4444444444444444, 0.3571428571428571, 0.4666666666666667, 0.5384615384615384, 0.2307692307692307, 0.5, 0.3636363636363636, 0.3571428571428571, 0.5, 0.6, 0.2142857142857142, 0.3636363636363636, 0.3333333333333333, 0.3571428571428571, 0.5, 0.4, 0.4285714285714285, 0.5, 0.2857142857142857, 0.3571428571428571, 0.4, 0.4]",0.41503925367561734,0.01768461741283564,0.0,kell_like,human,,,
